epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,13817,0.25839,0.37205,0.10518,0.94114,0.92939,0.9478,0.84699,0.18792,0.3165,0.13348,0.005842,0.005842,0.005842
44,14114.7,0.26826,0.36928,0.10486,0.95356,0.92172,0.94673,0.84374,0.18661,0.31508,0.13506,0.005743,0.005743,0.005743
45,14407.6,0.25966,0.36412,0.10477,0.95259,0.91647,0.94882,0.84334,0.18643,0.31978,0.13344,0.005644,0.005644,0.005644
46,14696,0.27869,0.37366,0.10674,0.95443,0.92023,0.94865,0.84236,0.19371,0.31556,0.13396,0.005545,0.005545,0.005545
47,14988.6,0.2436,0.35789,0.09985,0.94964,0.92807,0.94872,0.84906,0.18301,0.31162,0.127,0.005446,0.005446,0.005446
48,15325.1,0.24771,0.36231,0.09947,0.95608,0.92064,0.9475,0.84769,0.18467,0.30229,0.13152,0.005347,0.005347,0.005347
49,15670.9,0.25567,0.35899,0.09952,0.95702,0.92306,0.94786,0.84586,0.18939,0.30435,0.13739,0.005248,0.005248,0.005248
50,16058.2,0.25408,0.36071,0.09952,0.95323,0.9205,0.94832,0.85004,0.18039,0.30693,0.13041,0.005149,0.005149,0.005149
51,16374.9,0.28696,0.37896,0.1083,0.9548,0.92201,0.949,0.84708,0.18457,0.30358,0.12883,0.00505,0.00505,0.00505
52,16660.6,0.27994,0.3748,0.10422,0.95012,0.9257,0.94756,0.84365,0.18734,0.30916,0.13124,0.004951,0.004951,0.004951
53,16958.9,0.33473,0.40106,0.12132,0.9479,0.922,0.94508,0.82462,0.20106,0.3284,0.13458,0.004852,0.004852,0.004852
54,17246.5,0.312,0.39277,0.11615,0.95249,0.92759,0.94633,0.82969,0.20093,0.32412,0.13679,0.004753,0.004753,0.004753
55,17530.1,0.27178,0.36562,0.10333,0.95417,0.92732,0.94796,0.84076,0.19204,0.30513,0.13192,0.004654,0.004654,0.004654
56,17810.7,0.31936,0.39215,0.12254,0.95127,0.93052,0.94708,0.83188,0.20191,0.31145,0.13598,0.004555,0.004555,0.004555
57,18094.4,0.45233,0.44276,0.18626,0.95268,0.92526,0.94745,0.78662,0.24492,0.35701,0.15991,0.004456,0.004456,0.004456
58,18370.7,0.28382,0.36998,0.10605,0.95277,0.9272,0.9476,0.83856,0.1945,0.31558,0.13542,0.004357,0.004357,0.004357
59,18644.1,0.35805,0.40162,0.14627,0.9524,0.92546,0.94582,0.79901,0.23971,0.34752,0.14883,0.004258,0.004258,0.004258
60,18919,0.37945,0.42812,0.16693,0.95317,0.92575,0.94847,0.82534,0.2089,0.32755,0.14494,0.004159,0.004159,0.004159
