epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6629.49,0.52019,0.39555,0.9476,0.96075,0.91972,0.95765,0.86709,0.46574,0.31538,0.96381,0.005842,0.005842,0.005842
44,6783.26,0.52097,0.39622,0.94793,0.95426,0.91846,0.9541,0.86379,0.4663,0.32152,0.96093,0.005743,0.005743,0.005743
45,6936.99,0.51762,0.39006,0.946,0.9572,0.91566,0.95516,0.86499,0.45944,0.31119,0.96087,0.005644,0.005644,0.005644
46,7090.55,0.51943,0.38578,0.94613,0.94784,0.92893,0.95623,0.86915,0.45587,0.30652,0.95425,0.005545,0.005545,0.005545
47,7244.4,0.50868,0.38135,0.94183,0.95186,0.92099,0.95476,0.86472,0.45659,0.31899,0.95634,0.005446,0.005446,0.005446
48,7398.09,0.50704,0.37444,0.94143,0.9607,0.9194,0.9563,0.86918,0.45586,0.30457,0.95363,0.005347,0.005347,0.005347
49,7551.85,0.50634,0.37729,0.93975,0.96104,0.92499,0.95439,0.86608,0.45877,0.30205,0.95874,0.005248,0.005248,0.005248
50,7705.64,0.50452,0.37639,0.93913,0.95264,0.92652,0.95847,0.87229,0.44994,0.29904,0.95473,0.005149,0.005149,0.005149
51,7860.12,0.50136,0.36777,0.93743,0.95794,0.92665,0.95956,0.87273,0.45205,0.29132,0.95693,0.00505,0.00505,0.00505
52,8014.2,0.50113,0.36129,0.93431,0.95957,0.92408,0.95685,0.87104,0.45529,0.29707,0.95637,0.004951,0.004951,0.004951
53,8167.85,0.49804,0.36166,0.93476,0.9523,0.92713,0.95559,0.87123,0.45733,0.29447,0.95946,0.004852,0.004852,0.004852
54,8321.64,0.49121,0.35731,0.93039,0.94676,0.93265,0.95675,0.87504,0.44778,0.29289,0.95169,0.004753,0.004753,0.004753
55,8475.36,0.49193,0.35486,0.92816,0.95495,0.9301,0.9595,0.8768,0.44623,0.28711,0.9463,0.004654,0.004654,0.004654
56,8629.4,0.48945,0.34835,0.92909,0.96253,0.92745,0.95761,0.87584,0.45254,0.28456,0.95384,0.004555,0.004555,0.004555
57,8783.35,0.48638,0.34984,0.92721,0.95937,0.92598,0.95958,0.87891,0.44643,0.28881,0.94727,0.004456,0.004456,0.004456
58,8937.45,0.48039,0.34154,0.92324,0.95639,0.93248,0.95804,0.87475,0.45086,0.2882,0.95248,0.004357,0.004357,0.004357
59,9091.04,0.48025,0.34313,0.92426,0.95715,0.93131,0.96029,0.87747,0.44708,0.28095,0.9484,0.004258,0.004258,0.004258
60,9244.55,0.47436,0.33589,0.92049,0.96008,0.93063,0.96042,0.87914,0.44284,0.27992,0.94857,0.004159,0.004159,0.004159
61,9398.19,0.46832,0.33053,0.91871,0.95677,0.93167,0.95914,0.88011,0.43929,0.27557,0.9482,0.00406,0.00406,0.00406
62,9551.85,0.47187,0.33072,0.91946,0.96309,0.93173,0.96111,0.88138,0.43873,0.26869,0.94995,0.003961,0.003961,0.003961
63,9705.98,0.46857,0.32789,0.91807,0.95689,0.9341,0.96088,0.88159,0.43301,0.26917,0.94405,0.003862,0.003862,0.003862
64,9860.05,0.46256,0.32229,0.9168,0.95768,0.94029,0.95932,0.88243,0.43374,0.27115,0.94522,0.003763,0.003763,0.003763
65,10013.8,0.4674,0.32304,0.91773,0.95413,0.93899,0.95969,0.88196,0.4308,0.27046,0.94439,0.003664,0.003664,0.003664
66,10167.3,0.46206,0.31932,0.91346,0.95884,0.9387,0.95996,0.88453,0.43295,0.27021,0.94444,0.003565,0.003565,0.003565
67,10321,0.45758,0.31415,0.91261,0.95402,0.94112,0.96189,0.88634,0.43014,0.27194,0.94217,0.003466,0.003466,0.003466
68,10475.2,0.46091,0.31425,0.91287,0.95203,0.94493,0.96135,0.88562,0.42582,0.26778,0.93931,0.003367,0.003367,0.003367
69,10628.2,0.44976,0.30801,0.90861,0.96791,0.92718,0.96131,0.8844,0.43032,0.2712,0.94811,0.003268,0.003268,0.003268
70,10781.3,0.45037,0.30452,0.90891,0.96294,0.93259,0.96147,0.88385,0.43438,0.26984,0.95014,0.003169,0.003169,0.003169
71,10934,0.44762,0.30784,0.90727,0.95435,0.94176,0.96292,0.88575,0.43128,0.2688,0.94367,0.00307,0.00307,0.00307
72,11087,0.44509,0.30102,0.90467,0.96368,0.93568,0.96215,0.88635,0.42946,0.26693,0.93997,0.002971,0.002971,0.002971
73,11240.4,0.44418,0.30173,0.90556,0.9634,0.93689,0.96186,0.884,0.43347,0.26666,0.94153,0.002872,0.002872,0.002872
74,11394.1,0.43963,0.29938,0.90292,0.96342,0.93842,0.96218,0.88591,0.43112,0.26291,0.9405,0.002773,0.002773,0.002773
75,11547.5,0.43579,0.29428,0.90143,0.9653,0.93863,0.96347,0.88761,0.42691,0.26206,0.93942,0.002674,0.002674,0.002674
76,11701.2,0.43405,0.29013,0.89978,0.96537,0.93658,0.96378,0.88923,0.42591,0.26377,0.93779,0.002575,0.002575,0.002575
77,11854.8,0.43228,0.28867,0.89735,0.96397,0.93565,0.9642,0.88795,0.42582,0.26342,0.9369,0.002476,0.002476,0.002476
78,12008.1,0.43084,0.28589,0.89909,0.9664,0.936,0.9653,0.88973,0.42837,0.25984,0.94191,0.002377,0.002377,0.002377
79,12161.6,0.42617,0.28324,0.89828,0.95675,0.94114,0.9646,0.88899,0.42809,0.26042,0.94178,0.002278,0.002278,0.002278
80,12314.8,0.42982,0.28165,0.8964,0.96715,0.93213,0.96469,0.88873,0.42655,0.25911,0.94186,0.002179,0.002179,0.002179
81,12468.4,0.41839,0.27577,0.89293,0.96635,0.93429,0.96519,0.88919,0.42599,0.25913,0.94072,0.00208,0.00208,0.00208
82,12621.8,0.41943,0.27448,0.89705,0.96522,0.93686,0.96502,0.88963,0.42472,0.26001,0.94011,0.001981,0.001981,0.001981
83,12775.7,0.42003,0.27307,0.89359,0.96479,0.93401,0.96264,0.88941,0.42452,0.25927,0.94061,0.001882,0.001882,0.001882
84,12929.6,0.41159,0.26667,0.88856,0.96022,0.93904,0.96284,0.88911,0.42288,0.25903,0.9387,0.001783,0.001783,0.001783
