epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,638.656,0.72474,2.45565,1.19395,0.80044,0.69811,0.79339,0.64925,0.74321,1.05632,1.26554,0.00333169,0.00333169,0.00333169
2,1254.19,0.7856,1.34794,1.23237,0.77085,0.6885,0.75916,0.6078,0.83701,1.1049,1.34973,0.00659904,0.00659904,0.00659904
3,1862.97,0.93686,1.55009,1.35099,0.72667,0.6207,0.68418,0.51568,0.99941,1.38021,1.45147,0.00980039,0.00980039,0.00980039
4,2470,1.01591,1.66799,1.41621,0.76522,0.67779,0.74396,0.57761,0.94887,1.22904,1.44815,0.009703,0.009703,0.009703
5,3077.32,0.96652,1.46743,1.37961,0.81409,0.68954,0.76984,0.60098,0.90691,1.1086,1.40173,0.009604,0.009604,0.009604
6,3685.33,0.9002,1.28461,1.3281,0.86272,0.73367,0.83071,0.67281,0.79324,0.92613,1.31432,0.009505,0.009505,0.009505
7,4293.28,0.85416,1.16568,1.2854,0.83968,0.75329,0.82869,0.67747,0.77901,0.87355,1.27694,0.009406,0.009406,0.009406
8,4901.39,0.81621,1.10241,1.25489,0.86527,0.77641,0.8447,0.69509,0.73729,0.78104,1.25652,0.009307,0.009307,0.009307
9,5509.99,0.78926,1.03116,1.23147,0.86778,0.77368,0.86365,0.71757,0.71075,0.75953,1.22084,0.009208,0.009208,0.009208
10,6117.57,0.77948,0.98729,1.22724,0.89113,0.79866,0.86934,0.72938,0.69506,0.69966,1.20862,0.009109,0.009109,0.009109
11,6725.88,0.74725,0.92573,1.2005,0.88404,0.82107,0.8831,0.73994,0.684,0.6704,1.20458,0.00901,0.00901,0.00901
12,7334.39,0.73805,0.89897,1.1923,0.91221,0.81337,0.8918,0.75671,0.65659,0.62234,1.16979,0.008911,0.008911,0.008911
13,7942.63,0.72125,0.85046,1.17936,0.90175,0.83482,0.89466,0.75995,0.6431,0.62029,1.16747,0.008812,0.008812,0.008812
14,8550.64,0.70199,0.80959,1.16125,0.89709,0.84162,0.90101,0.77032,0.63031,0.60382,1.16189,0.008713,0.008713,0.008713
15,9158.39,0.69427,0.78538,1.15711,0.90069,0.85628,0.90946,0.78123,0.62566,0.54737,1.14222,0.008614,0.008614,0.008614
16,9766.53,0.68161,0.7597,1.14831,0.91809,0.86889,0.91502,0.78716,0.61822,0.53897,1.15321,0.008515,0.008515,0.008515
17,10374.7,0.67345,0.73859,1.14293,0.89291,0.86267,0.90507,0.78615,0.5995,0.54421,1.12935,0.008416,0.008416,0.008416
18,10983,0.66747,0.73611,1.137,0.91453,0.86912,0.9154,0.80027,0.58096,0.51609,1.11146,0.008317,0.008317,0.008317
19,11591.5,0.65401,0.70975,1.12925,0.92091,0.86506,0.92163,0.80301,0.57552,0.49989,1.09256,0.008218,0.008218,0.008218
20,12200,0.65104,0.69258,1.12095,0.91545,0.88172,0.92508,0.80632,0.57751,0.48699,1.10861,0.008119,0.008119,0.008119
21,12808.6,0.64226,0.67605,1.11702,0.93201,0.87469,0.92308,0.80906,0.56482,0.47885,1.09236,0.00802,0.00802,0.00802
22,13417.5,0.63751,0.66007,1.11258,0.94135,0.86797,0.92767,0.81702,0.54774,0.46024,1.07879,0.007921,0.007921,0.007921
23,14026.1,0.6332,0.6468,1.10559,0.91537,0.88678,0.92892,0.81498,0.56249,0.46305,1.09705,0.007822,0.007822,0.007822
24,14634.9,0.62639,0.6338,1.10351,0.91752,0.88677,0.93141,0.8216,0.54238,0.45637,1.06824,0.007723,0.007723,0.007723
25,15244.1,0.6158,0.61572,1.08799,0.93114,0.88547,0.93619,0.82608,0.53668,0.43623,1.05922,0.007624,0.007624,0.007624
26,15853.5,0.61365,0.61521,1.09279,0.93572,0.88797,0.93594,0.82901,0.53375,0.43052,1.07376,0.007525,0.007525,0.007525
27,16462.7,0.60409,0.59409,1.08103,0.92582,0.89376,0.9349,0.82932,0.53241,0.43902,1.06115,0.007426,0.007426,0.007426
28,17072.2,0.60193,0.58771,1.08239,0.93611,0.8893,0.93606,0.82939,0.52877,0.42358,1.06244,0.007327,0.007327,0.007327
29,17681.9,0.59836,0.57732,1.08349,0.92451,0.89296,0.93581,0.83186,0.51988,0.41425,1.06089,0.007228,0.007228,0.007228
30,18291.4,0.59746,0.5735,1.07727,0.9504,0.89391,0.94144,0.83829,0.52656,0.40515,1.06023,0.007129,0.007129,0.007129
31,18900.3,0.58928,0.56386,1.06796,0.95177,0.89875,0.94104,0.83941,0.504,0.40655,1.03479,0.00703,0.00703,0.00703
32,19509.6,0.59009,0.56422,1.07207,0.94184,0.9014,0.94136,0.83947,0.51841,0.40967,1.05745,0.006931,0.006931,0.006931
33,20117.7,0.57613,0.53428,1.06186,0.94375,0.9089,0.94323,0.8443,0.50631,0.39087,1.04503,0.006832,0.006832,0.006832
34,20726.3,0.58276,0.54129,1.0688,0.94717,0.90264,0.94325,0.84322,0.50005,0.38987,1.03575,0.006733,0.006733,0.006733
35,21334.4,0.57117,0.53304,1.06336,0.93164,0.91729,0.94445,0.85019,0.49625,0.3874,1.04095,0.006634,0.006634,0.006634
36,21943.6,0.57068,0.5226,1.05774,0.94775,0.90938,0.94556,0.84953,0.49518,0.37242,1.03772,0.006535,0.006535,0.006535
37,22552.2,0.55954,0.51634,1.05388,0.94786,0.90702,0.94473,0.84793,0.49823,0.38208,1.04685,0.006436,0.006436,0.006436
38,23161,0.56605,0.51592,1.05608,0.95286,0.91193,0.94889,0.85151,0.49455,0.37363,1.04051,0.006337,0.006337,0.006337
39,23769.3,0.56004,0.50355,1.04825,0.94775,0.9136,0.94658,0.85774,0.48586,0.37175,1.03071,0.006238,0.006238,0.006238
40,24377,0.5612,0.49929,1.05316,0.94811,0.912,0.94653,0.85454,0.48569,0.36771,1.02572,0.006139,0.006139,0.006139
41,24985.1,0.55002,0.48061,1.0431,0.94658,0.91193,0.94705,0.85512,0.48344,0.36041,1.02796,0.00604,0.00604,0.00604
42,25593.8,0.55052,0.48127,1.03556,0.94949,0.91523,0.95133,0.85847,0.47443,0.35375,1.0076,0.005941,0.005941,0.005941
43,26203.9,0.54514,0.47839,1.03569,0.94943,0.91579,0.94764,0.85743,0.48024,0.3587,1.01593,0.005842,0.005842,0.005842
44,26813.5,0.54077,0.4666,1.0316,0.94868,0.91406,0.94966,0.85814,0.48243,0.36054,1.01922,0.005743,0.005743,0.005743
45,27422.3,0.54071,0.46486,1.03898,0.94451,0.92152,0.95088,0.8619,0.46974,0.35021,1.02008,0.005644,0.005644,0.005644
46,28030.7,0.53797,0.4611,1.03354,0.9471,0.91906,0.95013,0.8626,0.46946,0.34248,1.01201,0.005545,0.005545,0.005545
47,28638.6,0.53061,0.44975,1.02817,0.95391,0.92207,0.95337,0.86642,0.46998,0.33582,1.01808,0.005446,0.005446,0.005446
48,29246.4,0.52806,0.45,1.02979,0.95176,0.92129,0.95327,0.86597,0.46586,0.34084,1.02057,0.005347,0.005347,0.005347
49,29854.7,0.52269,0.44055,1.0176,0.95676,0.92179,0.95414,0.86498,0.46909,0.3412,1.01721,0.005248,0.005248,0.005248
50,30462.1,0.52471,0.4437,1.01988,0.94356,0.9283,0.95327,0.8654,0.46471,0.33448,1.00918,0.005149,0.005149,0.005149
51,31070.1,0.52291,0.42885,1.02121,0.95527,0.92139,0.95221,0.86598,0.4611,0.33775,1.00572,0.00505,0.00505,0.00505
52,31677.6,0.51955,0.43479,1.02073,0.95942,0.92131,0.95514,0.86861,0.45763,0.33699,1.00877,0.004951,0.004951,0.004951
53,32297,0.51479,0.42238,1.01586,0.95756,0.92488,0.95362,0.86803,0.46107,0.33358,1.00827,0.004852,0.004852,0.004852
54,33015,0.509,0.4148,1.00792,0.96028,0.91982,0.95505,0.86935,0.45838,0.32825,1.00372,0.004753,0.004753,0.004753
55,33713.6,0.5076,0.41805,1.01501,0.95781,0.92462,0.95495,0.87149,0.45852,0.33116,1.00779,0.004654,0.004654,0.004654
56,34322.2,0.50403,0.41092,1.00716,0.95341,0.92396,0.95533,0.87086,0.45465,0.33496,1.00428,0.004555,0.004555,0.004555
57,34930,0.50611,0.41046,1.0093,0.95235,0.93105,0.95602,0.87063,0.4596,0.32556,1.00749,0.004456,0.004456,0.004456
58,35539.1,0.50116,0.39966,1.00595,0.95374,0.93427,0.95711,0.87377,0.45413,0.32295,1.00622,0.004357,0.004357,0.004357
59,36152.5,0.50053,0.39813,1.005,0.95573,0.93484,0.95758,0.87412,0.45095,0.32294,1.00076,0.004258,0.004258,0.004258
60,36774.9,0.50024,0.39967,1.00011,0.95585,0.93301,0.95789,0.87354,0.45683,0.31781,1.00278,0.004159,0.004159,0.004159
61,37398.7,0.49442,0.38827,0.99803,0.95779,0.92947,0.95797,0.87372,0.45405,0.31896,0.9998,0.00406,0.00406,0.00406
62,38018.6,0.49617,0.39116,0.99553,0.9537,0.93421,0.95788,0.87518,0.45167,0.32206,0.99677,0.003961,0.003961,0.003961
63,38640.4,0.49215,0.386,0.99558,0.95346,0.93288,0.95766,0.87592,0.44352,0.3224,0.9917,0.003862,0.003862,0.003862
64,39263.4,0.48738,0.38329,0.99464,0.96048,0.92611,0.95959,0.87636,0.44521,0.32084,0.99663,0.003763,0.003763,0.003763
65,39900.6,0.48686,0.37994,0.98667,0.9601,0.93163,0.95903,0.87555,0.44583,0.32078,0.9929,0.003664,0.003664,0.003664
66,40526.3,0.48267,0.37236,0.98837,0.95811,0.93278,0.96088,0.8778,0.44774,0.31234,0.99537,0.003565,0.003565,0.003565
67,41144.4,0.48133,0.37529,0.98978,0.95698,0.93725,0.96088,0.87937,0.44678,0.31023,0.99764,0.003466,0.003466,0.003466
68,41761.1,0.47897,0.36872,0.98946,0.95493,0.93386,0.96164,0.87956,0.4433,0.31281,0.9974,0.003367,0.003367,0.003367
69,42379.3,0.47887,0.36414,0.99058,0.9553,0.9344,0.95992,0.87759,0.44585,0.31585,1.00229,0.003268,0.003268,0.003268
70,42992.7,0.47209,0.36424,0.9842,0.95963,0.93184,0.95936,0.87801,0.44459,0.31401,0.99877,0.003169,0.003169,0.003169
71,43614.3,0.47269,0.35484,0.98088,0.95556,0.93415,0.96006,0.87926,0.4451,0.31401,0.99766,0.00307,0.00307,0.00307
72,44222.7,0.46933,0.35511,0.98044,0.96131,0.93088,0.9587,0.8784,0.44783,0.31165,0.99987,0.002971,0.002971,0.002971
73,44831.5,0.46755,0.3486,0.97862,0.96114,0.93211,0.95894,0.87866,0.4462,0.31372,0.9983,0.002872,0.002872,0.002872
