epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,7864.24,0.50719,0.96065,0.41314,0.94683,0.9435,0.90454,0.94434,0.85026,0.94835,0.89612,0.9373,0.80699,0.48706,1.10961,0.3763,0.97729,0.007129,0.007129,0.007129
31,8129.93,0.51046,0.96247,0.40851,0.94283,0.95234,0.90403,0.9459,0.85961,0.93982,0.91018,0.93638,0.81643,0.47956,1.06003,0.36402,0.97523,0.00703,0.00703,0.00703
32,8397.44,0.5063,0.96347,0.40508,0.94287,0.93906,0.91546,0.94682,0.86005,0.93491,0.9116,0.93735,0.81652,0.47706,1.08515,0.35404,0.96957,0.006931,0.006931,0.006931
33,8662.62,0.50098,0.95121,0.39475,0.93871,0.95327,0.90482,0.94495,0.85657,0.95351,0.90414,0.93795,0.81647,0.47824,1.11246,0.36138,0.9796,0.006832,0.006832,0.006832
34,8928.46,0.49946,0.95191,0.3939,0.9379,0.94587,0.91348,0.94408,0.85518,0.941,0.90955,0.93585,0.81096,0.47598,1.0684,0.36485,0.9758,0.006733,0.006733,0.006733
35,9194,0.49164,0.93321,0.3782,0.93632,0.95336,0.91589,0.94779,0.86325,0.95172,0.9134,0.94226,0.82183,0.46617,1.03513,0.33954,0.96422,0.006634,0.006634,0.006634
36,9459.04,0.49106,0.92833,0.38021,0.93138,0.95338,0.90848,0.94746,0.86142,0.9501,0.90655,0.93807,0.81886,0.46732,1.06355,0.3539,0.96817,0.006535,0.006535,0.006535
37,9724.65,0.48603,0.91131,0.37928,0.93148,0.94749,0.9169,0.94599,0.8637,0.95496,0.90489,0.93931,0.82204,0.46579,1.06164,0.34476,0.97566,0.006436,0.006436,0.006436
38,9989.23,0.49212,0.9246,0.38185,0.93539,0.95257,0.92288,0.94976,0.86849,0.9531,0.91818,0.94467,0.82453,0.45719,1.04809,0.33364,0.95873,0.006337,0.006337,0.006337
39,10256.5,0.49039,0.91455,0.37507,0.92977,0.94919,0.92141,0.94823,0.8645,0.94821,0.91755,0.94208,0.82374,0.46258,1.04285,0.33982,0.96976,0.006238,0.006238,0.006238
40,10523.3,0.48566,0.91696,0.37272,0.92907,0.94968,0.91908,0.94951,0.86648,0.94618,0.91765,0.94563,0.82606,0.46288,1.04799,0.32854,0.97023,0.006139,0.006139,0.006139
41,10790.1,0.47799,0.89129,0.36427,0.9267,0.95571,0.91911,0.95244,0.86843,0.95337,0.91364,0.94212,0.82434,0.46419,1.08885,0.33107,0.97367,0.00604,0.00604,0.00604
42,11055.5,0.4768,0.88524,0.35889,0.92587,0.94835,0.92185,0.95015,0.86838,0.95031,0.91762,0.94426,0.82587,0.45845,1.04023,0.32579,0.96844,0.005941,0.005941,0.005941
43,11319.7,0.47982,0.91169,0.36587,0.92683,0.94593,0.92885,0.95282,0.87089,0.9429,0.92538,0.94503,0.82915,0.45278,1.04582,0.32958,0.96428,0.005842,0.005842,0.005842
44,11586.9,0.47548,0.88647,0.3585,0.9233,0.95661,0.91746,0.95138,0.8711,0.95418,0.91807,0.94443,0.82857,0.45552,1.05655,0.33097,0.96541,0.005743,0.005743,0.005743
45,11853.1,0.46965,0.88443,0.35392,0.9235,0.94831,0.92613,0.95191,0.86963,0.95087,0.92216,0.94617,0.82918,0.45425,1.05822,0.32507,0.96744,0.005644,0.005644,0.005644
46,12118.9,0.47295,0.88143,0.35385,0.92352,0.95608,0.92002,0.95224,0.8727,0.94267,0.92892,0.94576,0.83269,0.45383,1.04072,0.32614,0.96506,0.005545,0.005545,0.005545
47,12386.5,0.46425,0.88236,0.34731,0.91862,0.9565,0.92099,0.9519,0.87191,0.956,0.92024,0.94563,0.83166,0.44992,1.05759,0.32668,0.96185,0.005446,0.005446,0.005446
48,12651.9,0.4663,0.87282,0.34815,0.91876,0.95154,0.92452,0.95193,0.87262,0.95508,0.91749,0.94502,0.83217,0.44827,1.03802,0.31645,0.95863,0.005347,0.005347,0.005347
49,12919.2,0.45886,0.8571,0.34423,0.91385,0.94312,0.9337,0.95487,0.87448,0.94981,0.92115,0.94589,0.83143,0.44296,1.07275,0.317,0.95728,0.005248,0.005248,0.005248
50,13187.2,0.45423,0.8549,0.33557,0.91185,0.95335,0.9274,0.9556,0.87437,0.94849,0.92159,0.9461,0.83247,0.44333,1.06746,0.31891,0.95278,0.005149,0.005149,0.005149
51,13457.3,0.45871,0.85186,0.33863,0.91369,0.95068,0.92718,0.95323,0.87509,0.95065,0.91981,0.94674,0.83544,0.44083,1.04725,0.3115,0.95129,0.00505,0.00505,0.00505
52,13721.1,0.45918,0.85539,0.33427,0.91305,0.9549,0.92663,0.95424,0.8745,0.95601,0.91925,0.94702,0.83301,0.43955,1.051,0.30882,0.95248,0.004951,0.004951,0.004951
53,13984,0.45746,0.8475,0.33775,0.91377,0.95942,0.92362,0.95454,0.87429,0.96376,0.91728,0.94667,0.83251,0.44201,1.05117,0.31133,0.95548,0.004852,0.004852,0.004852
54,14247.1,0.45493,0.84312,0.33196,0.91332,0.95231,0.92633,0.9519,0.87274,0.95263,0.92133,0.94593,0.83186,0.44869,1.05821,0.31125,0.96552,0.004753,0.004753,0.004753
55,14507.6,0.45049,0.82294,0.32603,0.91009,0.95708,0.92377,0.95187,0.87376,0.95774,0.92214,0.94598,0.83291,0.44462,1.04579,0.31061,0.9639,0.004654,0.004654,0.004654
56,14769.3,0.44781,0.82609,0.32502,0.91051,0.95499,0.92655,0.95198,0.8759,0.95579,0.92038,0.94524,0.83513,0.44823,1.04442,0.31,0.96764,0.004555,0.004555,0.004555
57,15035.5,0.44177,0.82115,0.32292,0.906,0.96,0.92412,0.95448,0.8769,0.9595,0.91567,0.94672,0.83705,0.44417,1.04616,0.30807,0.96405,0.004456,0.004456,0.004456
58,15299.5,0.44563,0.82275,0.3204,0.90881,0.95555,0.92846,0.95411,0.87683,0.96138,0.92022,0.94806,0.83831,0.44195,1.05659,0.30716,0.95964,0.004357,0.004357,0.004357
59,15562.7,0.44303,0.82197,0.32293,0.90647,0.96271,0.93061,0.95464,0.87708,0.96157,0.92407,0.9484,0.83985,0.4413,1.05441,0.30692,0.96213,0.004258,0.004258,0.004258
60,15826.9,0.4439,0.81962,0.31827,0.90494,0.95886,0.93031,0.9541,0.87575,0.96024,0.92318,0.9468,0.83816,0.44058,1.06101,0.31035,0.95893,0.004159,0.004159,0.004159
61,16089.1,0.44135,0.80979,0.31643,0.90245,0.9518,0.93521,0.95486,0.87831,0.94818,0.93256,0.94831,0.83869,0.44092,1.06488,0.30789,0.95975,0.00406,0.00406,0.00406
62,16351.7,0.43896,0.79657,0.31315,0.90249,0.95175,0.93593,0.95673,0.88025,0.94789,0.92993,0.95001,0.84017,0.43879,1.05415,0.30397,0.95652,0.003961,0.003961,0.003961
63,16613.9,0.43708,0.79644,0.3106,0.90076,0.95657,0.93255,0.95797,0.88013,0.95431,0.93025,0.95083,0.84079,0.43828,1.05439,0.30395,0.95743,0.003862,0.003862,0.003862
