epoch,train/box_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/cls_loss,val/dfl_loss
45,0.44192,0.33366,0.91975,0.37219,0.2489,0.91037
46,0.43857,0.32421,0.9191,0.37291,0.24569,0.91647
47,0.43262,0.32093,0.91512,0.3786,0.24297,0.92414
48,0.43125,0.31933,0.91421,0.37704,0.24171,0.91809
49,0.42694,0.31375,0.91522,0.37113,0.24001,0.91295
50,0.4288,0.31285,0.91642,0.36249,0.23802,0.90934
51,0.42391,0.31107,0.91247,0.36355,0.23634,0.90966
52,0.42217,0.30663,0.90877,0.35649,0.23335,0.89835
53,0.42148,0.30537,0.90995,0.35904,0.2329,0.90842
54,0.41071,0.30003,0.90601,0.36012,0.2328,0.90514
55,0.41307,0.29609,0.90688,0.36169,0.22873,0.90616
56,0.4136,0.29956,0.90485,0.35549,0.23289,0.9014
57,0.41081,0.29611,0.90393,0.36317,0.23114,0.91021
58,0.40461,0.28988,0.90341,0.35778,0.23104,0.90561
59,0.40292,0.2871,0.90133,0.34763,0.22322,0.89718
60,0.40027,0.28012,0.89968,0.35091,0.22044,0.90219
61,0.4002,0.28527,0.89891,0.35154,0.22289,0.89794
62,0.39882,0.28467,0.90032,0.35389,0.21862,0.90213
63,0.39612,0.28142,0.89611,0.35168,0.22265,0.9011
64,0.3926,0.27996,0.89493,0.35435,0.22554,0.90414
65,0.39221,0.27586,0.89395,0.351,0.22754,0.90115
66,0.38859,0.27321,0.89495,0.34714,0.22083,0.8992
67,0.38546,0.26558,0.89171,0.35293,0.21619,0.90318
68,0.38322,0.26593,0.88998,0.35051,0.21616,0.90318
69,0.3889,0.2682,0.89407,0.34684,0.21879,0.90062
70,0.38196,0.2647,0.89093,0.34745,0.21879,0.90384
71,0.37666,0.25752,0.89016,0.34516,0.2145,0.90086
72,0.37652,0.25638,0.88624,0.34564,0.21468,0.90151
73,0.37032,0.25339,0.88702,0.34142,0.2093,0.89713
74,0.36893,0.24997,0.88515,0.34313,0.21333,0.89976
75,0.36713,0.24754,0.88429,0.34116,0.21116,0.89688
76,0.36956,0.25088,0.88511,0.33826,0.21164,0.89392
77,0.36364,0.24633,0.8815,0.33832,0.21076,0.89247
78,0.35838,0.24287,0.87869,0.33565,0.2103,0.89228
79,0.35913,0.23917,0.88052,0.33149,0.20851,0.8912
80,0.35729,0.2382,0.87678,0.33292,0.21024,0.89098
81,0.36083,0.24206,0.8806,0.33528,0.21227,0.88983
82,0.35144,0.2335,0.87549,0.33782,0.21154,0.89739
83,0.35123,0.23365,0.87804,0.33292,0.20914,0.89107
84,0.34987,0.23026,0.87736,0.33121,0.20381,0.89002
85,0.34414,0.22889,0.87457,0.33082,0.20314,0.88945
86,0.3425,0.21984,0.87206,0.33092,0.20205,0.88782
87,0.33982,0.22442,0.86959,0.33136,0.20097,0.88769
88,0.3394,0.22477,0.87236,0.33183,0.20313,0.88697
89,0.33814,0.22023,0.86917,0.33167,0.20252,0.88751
90,0.33984,0.21988,0.87278,0.33143,0.20171,0.88781
91,0.28037,0.17749,0.83157,0.33037,0.20213,0.89079
92,0.27747,0.17421,0.82761,0.32981,0.20147,0.89264
93,0.27294,0.17038,0.82498,0.33004,0.19904,0.89336
94,0.26825,0.16715,0.82332,0.32908,0.19965,0.89187
95,0.26299,0.16267,0.82158,0.32903,0.19959,0.8923
96,0.26363,0.16321,0.82258,0.32919,0.20193,0.89209
97,0.25958,0.15934,0.82155,0.3294,0.20182,0.89206
98,0.25569,0.15628,0.81967,0.33,0.20222,0.89217
99,0.25137,0.1532,0.81713,0.33056,0.20223,0.89278
100,0.24991,0.15285,0.81436,0.33014,0.20249,0.89195
