epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,545.185,0.709,1.73217,2.51218,1.16577,0.74793,0.73304,0.7935,0.65278,0.73669,0.71868,0.77042,0.58307,0.70169,1.65789,1.09228,1.19728,0.00333104,0.00333104,0.00333104
2,1067.93,0.72377,1.65188,1.25968,1.1563,0.82562,0.76713,0.8287,0.67886,0.81911,0.75707,0.81203,0.62841,0.72792,1.71569,0.9168,1.21988,0.00659839,0.00659839,0.00659839
3,1579.33,0.7859,1.78701,1.1645,1.21312,0.83167,0.74158,0.82017,0.65868,0.81286,0.72638,0.79219,0.60442,0.7808,1.73156,0.91462,1.26857,0.00979975,0.00979975,0.00979975
4,2087.63,0.81535,1.81029,1.12999,1.23128,0.84269,0.79268,0.85291,0.70157,0.84135,0.78259,0.83706,0.64349,0.71232,1.67603,0.81645,1.21813,0.009703,0.009703,0.009703
5,2596.49,0.76395,1.70813,0.98407,1.19225,0.82822,0.80214,0.86166,0.71839,0.81862,0.79251,0.8452,0.66271,0.67138,1.60247,0.76599,1.17395,0.009604,0.009604,0.009604
6,3104.45,0.72278,1.61606,0.89427,1.16725,0.87007,0.83281,0.88379,0.74331,0.85827,0.82175,0.86344,0.68434,0.65214,1.52165,0.67718,1.16584,0.009505,0.009505,0.009505
7,3611.71,0.68697,1.53504,0.81215,1.13909,0.876,0.84471,0.88915,0.7549,0.86842,0.83706,0.87274,0.69767,0.62622,1.44956,0.63609,1.13313,0.009406,0.009406,0.009406
8,4119.66,0.67371,1.49981,0.77832,1.1301,0.90771,0.83693,0.90281,0.7668,0.89679,0.82483,0.88521,0.71466,0.611,1.3962,0.58215,1.12707,0.009307,0.009307,0.009307
9,4626.87,0.66181,1.44666,0.76086,1.12009,0.90102,0.84787,0.90587,0.78076,0.88945,0.84271,0.89142,0.72648,0.58948,1.38306,0.56971,1.10708,0.009208,0.009208,0.009208
10,5134.03,0.64551,1.41494,0.71134,1.10855,0.88195,0.86201,0.90795,0.78755,0.87172,0.85302,0.89054,0.73394,0.58147,1.34354,0.578,1.1029,0.009109,0.009109,0.009109
11,5641.88,0.63256,1.36728,0.69343,1.09677,0.89539,0.86474,0.91301,0.79485,0.88772,0.85548,0.8992,0.73922,0.57018,1.33427,0.5495,1.08424,0.00901,0.00901,0.00901
12,6149.68,0.61592,1.33916,0.64618,1.08857,0.89922,0.86806,0.91848,0.80326,0.88842,0.86057,0.8989,0.75094,0.55698,1.28337,0.52017,1.09115,0.008911,0.008911,0.008911
13,6656.84,0.60844,1.33128,0.63918,1.0908,0.89384,0.87708,0.92191,0.81011,0.88218,0.86664,0.90032,0.74772,0.54722,1.31669,0.51672,1.07648,0.008812,0.008812,0.008812
14,7164.37,0.60954,1.31256,0.62971,1.08351,0.90827,0.88275,0.92281,0.81007,0.90675,0.88273,0.91431,0.75903,0.54474,1.26211,0.49905,1.07704,0.008713,0.008713,0.008713
15,7671.84,0.5887,1.2806,0.59798,1.07118,0.92521,0.88065,0.92839,0.81574,0.91611,0.87264,0.91069,0.75749,0.53176,1.23975,0.4591,1.06145,0.008614,0.008614,0.008614
16,8179.4,0.58669,1.25946,0.58235,1.06518,0.91945,0.87443,0.92367,0.81608,0.91265,0.87131,0.91365,0.76598,0.53515,1.24931,0.47919,1.06826,0.008515,0.008515,0.008515
17,8686.99,0.57663,1.23064,0.57338,1.06055,0.89818,0.8942,0.92831,0.81875,0.89899,0.88422,0.91521,0.76602,0.53451,1.2122,0.46954,1.06623,0.008416,0.008416,0.008416
18,9194.91,0.57189,1.22514,0.56458,1.05489,0.9268,0.88191,0.92691,0.82156,0.91833,0.87772,0.917,0.77155,0.52847,1.21473,0.46103,1.0615,0.008317,0.008317,0.008317
19,9703.37,0.57015,1.21038,0.55297,1.05599,0.91421,0.88529,0.93263,0.83124,0.90711,0.88506,0.92409,0.78288,0.5172,1.19651,0.45692,1.05168,0.008218,0.008218,0.008218
20,10210.3,0.55814,1.18891,0.5374,1.04669,0.92862,0.89498,0.93341,0.83075,0.92355,0.8895,0.921,0.77944,0.52289,1.21155,0.43876,1.05045,0.008119,0.008119,0.008119
21,10718.6,0.55926,1.18693,0.53271,1.04783,0.91305,0.90641,0.93563,0.83216,0.90772,0.90056,0.92049,0.77745,0.51474,1.17433,0.43615,1.04493,0.00802,0.00802,0.00802
22,11225,0.54927,1.17554,0.51445,1.04201,0.93245,0.90681,0.93832,0.83737,0.92862,0.90232,0.92969,0.79066,0.50936,1.15976,0.426,1.0471,0.007921,0.007921,0.007921
23,11731.1,0.54638,1.15925,0.50682,1.03852,0.94042,0.89375,0.94135,0.84188,0.93559,0.88993,0.9305,0.79309,0.50732,1.15142,0.41719,1.04295,0.007822,0.007822,0.007822
24,12236.8,0.54448,1.12948,0.49987,1.03325,0.9263,0.90385,0.93734,0.83886,0.92372,0.90097,0.92573,0.79293,0.49799,1.14578,0.43372,1.03069,0.007723,0.007723,0.007723
25,12742.4,0.54301,1.1447,0.49456,1.03018,0.93813,0.89361,0.93871,0.8424,0.93392,0.89013,0.92973,0.79734,0.49804,1.12993,0.41023,1.03203,0.007624,0.007624,0.007624
26,13248.5,0.5329,1.12455,0.49092,1.02414,0.93097,0.89623,0.93555,0.838,0.9263,0.89287,0.92594,0.79327,0.49653,1.13196,0.41988,1.03086,0.007525,0.007525,0.007525
27,13755.1,0.53755,1.12166,0.49208,1.02704,0.93531,0.91028,0.94095,0.84593,0.93136,0.90515,0.93074,0.80004,0.48771,1.11996,0.39039,1.03147,0.007426,0.007426,0.007426
28,14261.5,0.53004,1.10692,0.47549,1.01712,0.93923,0.90687,0.94265,0.84843,0.9348,0.90452,0.93122,0.80027,0.48865,1.11323,0.40671,1.02306,0.007327,0.007327,0.007327
29,14767.4,0.53269,1.12394,0.48073,1.02441,0.92857,0.91895,0.94478,0.85356,0.93242,0.91612,0.93777,0.80845,0.47785,1.09482,0.39104,1.01912,0.007228,0.007228,0.007228
30,15273.1,0.52408,1.0871,0.47116,1.02284,0.94455,0.9058,0.94599,0.85841,0.9419,0.90176,0.93757,0.80741,0.47782,1.12131,0.39456,1.0152,0.007129,0.007129,0.007129
