epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,15778.9,0.52905,1.08706,0.47158,1.02001,0.94812,0.9074,0.94623,0.85364,0.94309,0.90294,0.93668,0.80893,0.47537,1.11332,0.38407,1.01938,0.00703,0.00703,0.00703
32,16285.3,0.51675,1.0687,0.45281,1.01465,0.94902,0.90601,0.9468,0.85702,0.94251,0.90028,0.93363,0.80925,0.47752,1.11239,0.38047,1.02237,0.006931,0.006931,0.006931
33,16791.9,0.51286,1.0671,0.45094,1.01453,0.93955,0.90382,0.94405,0.85385,0.9372,0.90377,0.93705,0.80776,0.48308,1.11926,0.38493,1.02448,0.006832,0.006832,0.006832
34,17298.5,0.51205,1.04718,0.44086,1.01445,0.94702,0.90413,0.94542,0.85425,0.94819,0.90217,0.93931,0.81152,0.47994,1.1193,0.37966,1.01975,0.006733,0.006733,0.006733
35,17805.4,0.50811,1.03853,0.44355,1.00763,0.95412,0.91077,0.94833,0.85911,0.9477,0.90807,0.9373,0.81444,0.47546,1.10352,0.36688,1.01062,0.006634,0.006634,0.006634
36,18312.3,0.50896,1.05303,0.43868,1.00665,0.95102,0.89997,0.94669,0.85734,0.93502,0.91072,0.93911,0.81482,0.47873,1.07823,0.37379,1.02142,0.006535,0.006535,0.006535
37,18818.6,0.50151,1.0396,0.42854,1.00574,0.94669,0.90888,0.94573,0.8576,0.94083,0.90634,0.93718,0.81604,0.47339,1.09054,0.37017,1.02064,0.006436,0.006436,0.006436
38,19325.3,0.50255,1.03566,0.42353,1.00557,0.9503,0.91608,0.94905,0.86157,0.94781,0.91431,0.93915,0.81769,0.47185,1.10303,0.36708,1.01627,0.006337,0.006337,0.006337
39,19831.8,0.496,1.01947,0.42099,0.99298,0.94513,0.92334,0.94975,0.86236,0.94143,0.91998,0.94182,0.81882,0.46792,1.068,0.35942,1.00147,0.006238,0.006238,0.006238
40,20337.4,0.49664,1.00748,0.41967,0.99483,0.95239,0.91317,0.95136,0.86493,0.94932,0.90871,0.94263,0.82506,0.46208,1.04792,0.35756,1.00302,0.006139,0.006139,0.006139
41,20843.4,0.49557,1.0036,0.41285,0.99836,0.94939,0.91477,0.95145,0.86338,0.94815,0.9112,0.94507,0.82265,0.46322,1.08543,0.35353,1.00122,0.00604,0.00604,0.00604
42,21349.4,0.49148,0.99593,0.41048,0.99064,0.94585,0.91678,0.95004,0.86211,0.94391,0.9104,0.94119,0.82367,0.47088,1.07382,0.35929,1.00618,0.005941,0.005941,0.005941
43,21855.3,0.49148,1.01344,0.4065,0.98607,0.95389,0.91219,0.95085,0.86708,0.95134,0.91158,0.9436,0.82451,0.46343,1.06296,0.35882,1.00349,0.005842,0.005842,0.005842
44,22361.7,0.48663,0.98442,0.40578,0.98986,0.95485,0.92104,0.9531,0.86892,0.95506,0.91839,0.94648,0.82582,0.45807,1.03837,0.34161,0.99668,0.005743,0.005743,0.005743
45,22868.5,0.48729,0.99118,0.39934,0.99035,0.94816,0.92362,0.94983,0.86614,0.94145,0.9208,0.93695,0.82301,0.45928,1.02926,0.3455,1.00271,0.005644,0.005644,0.005644
46,23375,0.48136,0.97962,0.39749,0.99029,0.954,0.91789,0.95216,0.86661,0.95034,0.91292,0.94385,0.82789,0.45978,1.0453,0.35016,1.01025,0.005545,0.005545,0.005545
47,23882.6,0.47667,0.96248,0.39157,0.98091,0.94818,0.91936,0.95228,0.86773,0.94739,0.91607,0.94577,0.82873,0.45858,1.05182,0.34475,0.99624,0.005446,0.005446,0.005446
48,24390,0.47652,0.96784,0.38505,0.97837,0.95677,0.92022,0.95387,0.87123,0.9576,0.91255,0.94552,0.83071,0.45314,1.04908,0.34383,0.99446,0.005347,0.005347,0.005347
49,24897.1,0.47553,0.95774,0.38837,0.98091,0.95388,0.91956,0.95287,0.87118,0.95035,0.91606,0.94409,0.83215,0.45246,1.0578,0.3377,0.99995,0.005248,0.005248,0.005248
50,25404.6,0.47148,0.94998,0.37656,0.97585,0.94226,0.93285,0.9539,0.87032,0.94659,0.92189,0.94544,0.83143,0.4568,1.04501,0.33342,1.00249,0.005149,0.005149,0.005149
51,25912.2,0.4744,0.95992,0.38605,0.98065,0.94137,0.92847,0.9518,0.86964,0.94201,0.92884,0.94715,0.83362,0.45764,1.04362,0.33872,1.0024,0.00505,0.00505,0.00505
52,26420.2,0.46731,0.94127,0.3739,0.97691,0.95891,0.91765,0.95318,0.87209,0.95509,0.91692,0.94593,0.83383,0.45521,1.03692,0.33655,1.00024,0.004951,0.004951,0.004951
53,26928.1,0.46782,0.93489,0.37433,0.979,0.94494,0.93066,0.95463,0.87362,0.94119,0.92971,0.94732,0.83558,0.45419,1.04188,0.33291,1.00093,0.004852,0.004852,0.004852
54,27436.4,0.46627,0.94032,0.36946,0.98087,0.95567,0.92329,0.95459,0.87195,0.95194,0.9171,0.94478,0.8346,0.45245,1.04919,0.33269,1.00386,0.004753,0.004753,0.004753
55,27945.2,0.46119,0.9249,0.362,0.9732,0.94655,0.92826,0.95428,0.87414,0.94472,0.92428,0.94609,0.83523,0.44867,1.06154,0.32805,0.99493,0.004654,0.004654,0.004654
56,28453.5,0.46594,0.93226,0.36799,0.96948,0.94506,0.9332,0.9555,0.87329,0.95231,0.9225,0.94763,0.83573,0.44942,1.04372,0.32943,0.99133,0.004555,0.004555,0.004555
57,28961.4,0.45632,0.91952,0.36167,0.97243,0.95348,0.92315,0.95656,0.87654,0.95368,0.92363,0.94832,0.83787,0.44781,1.03244,0.32529,0.99549,0.004456,0.004456,0.004456
58,29469.5,0.45726,0.90509,0.35148,0.96863,0.95587,0.92466,0.95542,0.87703,0.95341,0.9228,0.94654,0.83895,0.44732,1.02982,0.32869,0.99299,0.004357,0.004357,0.004357
59,29977.8,0.45535,0.89981,0.34966,0.9629,0.96044,0.92166,0.95747,0.87726,0.9554,0.92103,0.94898,0.84072,0.44814,1.03418,0.32198,0.9884,0.004258,0.004258,0.004258
60,30485,0.45839,0.91472,0.35693,0.96715,0.95842,0.9311,0.9575,0.87657,0.95647,0.92213,0.94845,0.84141,0.44715,1.02925,0.32322,0.98731,0.004159,0.004159,0.004159
61,30993.2,0.45089,0.9037,0.348,0.96415,0.9548,0.92771,0.95629,0.87752,0.95597,0.92329,0.94721,0.8411,0.44695,1.02931,0.32,0.98984,0.00406,0.00406,0.00406
62,31502.9,0.45258,0.89116,0.34499,0.96067,0.95441,0.92617,0.95569,0.87489,0.95328,0.92466,0.94701,0.83878,0.45208,1.0373,0.31871,0.99495,0.003961,0.003961,0.003961
63,32012.6,0.44953,0.88911,0.34476,0.95308,0.96851,0.91522,0.95573,0.87613,0.95572,0.92353,0.94635,0.83982,0.45186,1.04261,0.32275,0.9936,0.003862,0.003862,0.003862
64,32522.3,0.44784,0.87969,0.34029,0.95295,0.95555,0.93107,0.95626,0.8763,0.95079,0.93085,0.94688,0.8396,0.44696,1.03396,0.3208,0.98368,0.003763,0.003763,0.003763
65,33028.8,0.44486,0.88364,0.33647,0.95703,0.95302,0.93082,0.95543,0.87784,0.95069,0.92823,0.9447,0.83946,0.44658,1.03818,0.31772,0.98898,0.003664,0.003664,0.003664
66,33534.2,0.44265,0.866,0.34075,0.95608,0.96399,0.92054,0.95592,0.87882,0.95737,0.92073,0.94585,0.84104,0.44548,1.04244,0.31737,0.98948,0.003565,0.003565,0.003565
67,34040,0.43816,0.85711,0.32935,0.95161,0.95856,0.92743,0.95564,0.87842,0.95418,0.92325,0.94585,0.84282,0.44483,1.03923,0.31791,0.99018,0.003466,0.003466,0.003466
68,34546.7,0.44359,0.8718,0.33057,0.95137,0.9608,0.92406,0.95472,0.87787,0.95838,0.92182,0.9463,0.84201,0.44481,1.04469,0.31599,0.9916,0.003367,0.003367,0.003367
69,35052.7,0.43905,0.87285,0.33252,0.9536,0.956,0.9242,0.95594,0.87881,0.95255,0.92212,0.94674,0.84276,0.44513,1.04632,0.31658,0.99392,0.003268,0.003268,0.003268
70,35558.5,0.43598,0.85682,0.32529,0.95304,0.95542,0.92443,0.95542,0.87937,0.94882,0.92657,0.94799,0.84391,0.44351,1.05175,0.31837,0.99516,0.003169,0.003169,0.003169
71,36066,0.43437,0.86074,0.32434,0.952,0.95826,0.92197,0.95699,0.88101,0.95578,0.92144,0.94983,0.84468,0.44025,1.04511,0.31687,0.98933,0.00307,0.00307,0.00307
72,36573.4,0.4314,0.84812,0.31986,0.94651,0.95737,0.92576,0.95694,0.88088,0.95557,0.92383,0.94927,0.8452,0.44135,1.04606,0.31457,0.98934,0.002971,0.002971,0.002971
73,37081,0.42909,0.83799,0.31714,0.94282,0.95671,0.92484,0.95664,0.88024,0.95333,0.92133,0.94783,0.84474,0.44209,1.04777,0.31408,0.98981,0.002872,0.002872,0.002872
74,37588.8,0.42425,0.83034,0.31169,0.94727,0.95994,0.92395,0.95719,0.88001,0.95738,0.92117,0.94858,0.84604,0.4401,1.04947,0.311,0.99113,0.002773,0.002773,0.002773
75,38096.4,0.42411,0.83418,0.30539,0.94731,0.96057,0.92287,0.95787,0.88096,0.95677,0.92004,0.94889,0.84634,0.43991,1.05523,0.31173,0.99285,0.002674,0.002674,0.002674
76,38603.7,0.42302,0.82366,0.30876,0.94417,0.95982,0.92448,0.95744,0.88122,0.95671,0.92031,0.94893,0.84729,0.4379,1.05705,0.31303,0.99165,0.002575,0.002575,0.002575
77,39109.6,0.42314,0.8337,0.3077,0.94865,0.9602,0.9252,0.95846,0.88213,0.95794,0.91944,0.94976,0.84775,0.43809,1.06037,0.31108,0.99495,0.002476,0.002476,0.002476
78,39615.7,0.42397,0.82882,0.30619,0.94775,0.96332,0.9221,0.95845,0.88216,0.96019,0.91917,0.95073,0.8489,0.43722,1.0595,0.30958,0.99552,0.002377,0.002377,0.002377
79,40122.5,0.41813,0.81369,0.30616,0.94601,0.9579,0.92591,0.9587,0.88262,0.95674,0.92175,0.94955,0.84729,0.43816,1.0609,0.30832,0.9981,0.002278,0.002278,0.002278
80,40629.7,0.41923,0.81621,0.29688,0.93948,0.95928,0.92425,0.95937,0.88236,0.95702,0.91981,0.94932,0.84879,0.43963,1.06228,0.30873,0.99871,0.002179,0.002179,0.002179
81,41137.2,0.42097,0.81181,0.30063,0.94369,0.9609,0.92341,0.95927,0.88255,0.95894,0.91962,0.94944,0.84791,0.43955,1.0607,0.30895,0.99858,0.00208,0.00208,0.00208
82,41644.5,0.41123,0.80497,0.29141,0.93773,0.96098,0.92412,0.95924,0.88329,0.9587,0.92005,0.949,0.84865,0.44089,1.06223,0.3092,1.0007,0.001981,0.001981,0.001981
83,42151.9,0.41489,0.81459,0.29344,0.9425,0.96261,0.92442,0.95928,0.8837,0.95989,0.91982,0.94856,0.84938,0.43967,1.06145,0.30992,1.00088,0.001882,0.001882,0.001882
84,42659.4,0.40837,0.794,0.28666,0.93645,0.9628,0.92289,0.95947,0.8838,0.95953,0.91905,0.94901,0.84903,0.43979,1.06223,0.30974,1.00196,0.001783,0.001783,0.001783
85,43165.9,0.41264,0.8051,0.29431,0.94092,0.96123,0.92229,0.95938,0.88328,0.95752,0.91879,0.94811,0.84851,0.44056,1.06595,0.31023,1.00349,0.001684,0.001684,0.001684
86,43674,0.40932,0.79715,0.28842,0.93627,0.96266,0.92202,0.9593,0.8834,0.95715,0.9196,0.94835,0.84917,0.44153,1.06768,0.31124,1.00535,0.001585,0.001585,0.001585
87,44181.7,0.40506,0.79636,0.28584,0.93466,0.96457,0.92149,0.95939,0.88361,0.95967,0.91789,0.948,0.84848,0.44114,1.06866,0.31,1.00523,0.001486,0.001486,0.001486
88,44689.1,0.40581,0.78959,0.28503,0.93568,0.96451,0.9204,0.95944,0.88387,0.95762,0.91821,0.94873,0.84889,0.44072,1.06934,0.30856,1.00469,0.001387,0.001387,0.001387
