epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9073.91,0.47598,0.35225,0.92744,0.95892,0.91008,0.95131,0.8663,0.46035,0.33011,0.96365,0.005842,0.005842,0.005842
44,9189.06,0.47661,0.34931,0.9228,0.94498,0.92435,0.95026,0.86661,0.46556,0.32944,0.9671,0.005743,0.005743,0.005743
45,9303.05,0.47453,0.34516,0.92609,0.95267,0.91925,0.95256,0.86926,0.46421,0.32398,0.96287,0.005644,0.005644,0.005644
46,9458.85,0.47123,0.34167,0.92221,0.94303,0.92586,0.95045,0.86873,0.46311,0.33005,0.96567,0.005545,0.005545,0.005545
47,9644.22,0.47135,0.3416,0.92603,0.95397,0.91821,0.95132,0.87093,0.46276,0.3235,0.96112,0.005446,0.005446,0.005446
48,9792.13,0.47154,0.342,0.9217,0.96303,0.91999,0.95217,0.87013,0.46472,0.32115,0.96835,0.005347,0.005347,0.005347
49,9921.88,0.4609,0.33315,0.91759,0.95289,0.92338,0.95217,0.86989,0.45939,0.31758,0.9621,0.005248,0.005248,0.005248
50,10056,0.4636,0.33293,0.9177,0.95651,0.92063,0.95292,0.87181,0.46643,0.32218,0.96994,0.005149,0.005149,0.005149
51,10174.6,0.46109,0.32806,0.91623,0.9545,0.91993,0.954,0.87255,0.46473,0.32295,0.97095,0.00505,0.00505,0.00505
52,10310,0.45806,0.33118,0.91524,0.95822,0.92107,0.95419,0.87201,0.46164,0.31316,0.97067,0.004951,0.004951,0.004951
53,10473.6,0.46059,0.3319,0.91607,0.95788,0.92987,0.95316,0.87457,0.46132,0.31487,0.96553,0.004852,0.004852,0.004852
54,10597.3,0.45638,0.32514,0.91294,0.95401,0.93101,0.95539,0.87664,0.45868,0.30798,0.95912,0.004753,0.004753,0.004753
55,10721.5,0.45318,0.32321,0.91031,0.9568,0.92111,0.95429,0.8753,0.45755,0.31318,0.95875,0.004654,0.004654,0.004654
56,10848.7,0.45634,0.32563,0.91484,0.95994,0.91844,0.9524,0.87527,0.45545,0.31202,0.95884,0.004555,0.004555,0.004555
57,10969.2,0.45325,0.32027,0.91256,0.95738,0.92128,0.95347,0.87519,0.45674,0.31147,0.96199,0.004456,0.004456,0.004456
58,11081.6,0.44764,0.31473,0.90839,0.95613,0.92552,0.95393,0.87548,0.45234,0.3103,0.95872,0.004357,0.004357,0.004357
59,11211.2,0.44225,0.30884,0.90828,0.95359,0.93123,0.95431,0.87817,0.44638,0.30684,0.95386,0.004258,0.004258,0.004258
60,11346.7,0.44185,0.31179,0.90763,0.95747,0.92806,0.9545,0.87804,0.44961,0.30387,0.95518,0.004159,0.004159,0.004159
61,11480.7,0.4455,0.31448,0.91093,0.95797,0.92825,0.95519,0.87926,0.44697,0.29942,0.95458,0.00406,0.00406,0.00406
62,11646.1,0.43896,0.30349,0.9054,0.96608,0.92246,0.95483,0.87927,0.44374,0.29985,0.95584,0.003961,0.003961,0.003961
63,11797.6,0.4408,0.30545,0.90355,0.9627,0.92684,0.95575,0.88001,0.4468,0.30056,0.95973,0.003862,0.003862,0.003862
64,11914,0.43524,0.30333,0.90304,0.96199,0.93098,0.95542,0.87909,0.45108,0.29603,0.96387,0.003763,0.003763,0.003763
65,12028.9,0.43009,0.29508,0.9012,0.96428,0.92975,0.95591,0.87956,0.446,0.29569,0.96066,0.003664,0.003664,0.003664
66,12145.9,0.42818,0.2948,0.90011,0.96406,0.92954,0.95726,0.88136,0.44759,0.29591,0.96052,0.003565,0.003565,0.003565
